teamold,record,winpercent,seasonstart,seasonend,team
Lakers,34-48,0.415,2004,2005,Lakers
Lakers,56-26,0.683,2003,2004,Lakers
Lakers,50-32,0.61,2002,2003,Lakers
Lakers,58-24,0.707,2001,2002,Lakers
Lakers,56-26,0.683,2000,2001,Lakers
Lakers,67-15,0.817,1999,2000,Lakers
Lakers,31-19,0.62,1998,1999,Lakers
Lakers,61-21,0.744,1997,1998,Lakers
Lakers,56-26,0.683,1996,1997,Lakers
Lakers,53-29,0.646,1995,1996,Lakers
Lakers,48-34,0.585,1994,1995,Lakers
Lakers,33-49,0.402,1993,1994,Lakers
Lakers,39-43,0.476,1992,1993,Lakers
Lakers,43-39,0.524,1991,1992,Lakers
Lakers,58-24,0.707,1990,1991,Lakers
Lakers,63-19,0.768,1989,1990,Lakers
Lakers,57-25,0.695,1988,1989,Lakers
Lakers,62-20,0.756,1987,1988,Lakers
Lakers,65-17,0.793,1986,1987,Lakers
Lakers,62-20,0.756,1985,1986,Lakers
Lakers,62-20,0.756,1984,1985,Lakers
Lakers,54-28,0.659,1983,1984,Lakers
Lakers,58-24,0.707,1982,1983,Lakers
Lakers,57-25,0.695,1981,1982,Lakers
Lakers,54-28,0.659,1980,1981,Lakers
Grizzlies,22-60,0.268,2017,2018,Grizzlies
Grizzlies,43-39,0.524,2016,2017,Grizzlies
Grizzlies,42-40,0.512,2015,2016,Grizzlies
Grizzlies,55-27,0.671,2014,2015,Grizzlies
Grizzlies,50-32,0.61,2013,2014,Grizzlies
Grizzlies,56-26,0.683,2012,2013,Grizzlies
Grizzlies,41-25,0.621,2011,2012,Grizzlies
Grizzlies,46-36,0.561,2010,2011,Grizzlies
Grizzlies,40-42,0.488,2009,2010,Grizzlies
Grizzlies,24-58,0.293,2008,2009,Grizzlies
Grizzlies,22-60,0.268,2007,2008,Grizzlies
Grizzlies,22-60,0.268,2006,2007,Grizzlies
Grizzlies,49-33,0.598,2005,2006,Grizzlies
Grizzlies,45-37,0.549,2004,2005,Grizzlies
Grizzlies,50-32,0.61,2003,2004,Grizzlies
Grizzlies,28-54,0.341,2002,2003,Grizzlies
Grizzlies,23-59,0.28,2001,2002,Grizzlies
Grizzlies,23-59,0.28,2000,2001,Grizzlies
Grizzlies,22-60,0.268,1999,2000,Grizzlies
Grizzlies,8-42,0.16,1998,1999,Grizzlies
Grizzlies,19-63,0.232,1997,1998,Grizzlies
Grizzlies,14-68,0.171,1996,1997,Grizzlies
Grizzlies,15-67,0.183,1995,1996,Grizzlies
Heat,44-38,0.537,2017,2018,Heat
Heat,41-41,0.5,2016,2017,Heat
Heat,48-34,0.585,2015,2016,Heat
Heat,37-45,0.451,2014,2015,Heat
Heat,54-28,0.659,2013,2014,Heat
Heat,66-16,0.805,2012,2013,Heat
Heat,46-20,0.697,2011,2012,Heat
Heat,58-24,0.707,2010,2011,Heat
Heat,47-35,0.573,2009,2010,Heat
Heat,43-39,0.524,2008,2009,Heat
Heat,15-67,0.183,2007,2008,Heat
Heat,44-38,0.537,2006,2007,Heat
Heat,52-30,0.634,2005,2006,Heat
Heat,59-23,0.72,2004,2005,Heat
Heat,42-40,0.512,2003,2004,Heat
Heat,25-57,0.305,2002,2003,Heat
Heat,36-46,0.439,2001,2002,Heat
Heat,50-32,0.61,2000,2001,Heat
Heat,52-30,0.634,1999,2000,Heat
Heat,33-17,0.66,1998,1999,Heat
Heat,55-27,0.671,1997,1998,Heat
Heat,61-21,0.744,1996,1997,Heat
Heat,42-40,0.512,1995,1996,Heat
Heat,32-50,0.39,1994,1995,Heat
Heat,42-40,0.512,1993,1994,Heat
Heat,36-46,0.439,1992,1993,Heat
Heat,38-44,0.463,1991,1992,Heat
Heat,24-58,0.293,1990,1991,Heat
Heat,18-64,0.22,1989,1990,Heat
Heat,15-67,0.183,1988,1989,Heat
Bucks,44-38,0.537,2017,2018,Bucks
Bucks,42-40,0.512,2016,2017,Bucks
Bucks,33-49,0.402,2015,2016,Bucks
Bucks,41-41,0.5,2014,2015,Bucks
Bucks,15-67,0.183,2013,2014,Bucks
Bucks,38-44,0.463,2012,2013,Bucks
Bucks,31-35,0.47,2011,2012,Bucks
Bucks,35-47,0.427,2010,2011,Bucks
Bucks,46-36,0.561,2009,2010,Bucks
Bucks,34-48,0.415,2008,2009,Bucks
Bucks,26-56,0.317,2007,2008,Bucks
Bucks,28-54,0.341,2006,2007,Bucks
Bucks,40-42,0.488,2005,2006,Bucks
Bucks,30-52,0.366,2004,2005,Bucks
Bucks,41-41,0.5,2003,2004,Bucks
Bucks,42-40,0.512,2002,2003,Bucks
Bucks,41-41,0.5,2001,2002,Bucks
Bucks,52-30,0.634,2000,2001,Bucks
Bucks,42-40,0.512,1999,2000,Bucks
Bucks,28-22,0.56,1998,1999,Bucks
Bucks,36-46,0.439,1997,1998,Bucks
Bucks,33-49,0.402,1996,1997,Bucks
Bucks,25-57,0.305,1995,1996,Bucks
Bucks,34-48,0.415,1994,1995,Bucks
Bucks,20-62,0.244,1993,1994,Bucks
Bucks,28-54,0.341,1992,1993,Bucks
Bucks,31-51,0.378,1991,1992,Bucks
Bucks,48-34,0.585,1990,1991,Bucks
Bucks,44-38,0.537,1989,1990,Bucks
Bucks,49-33,0.598,1988,1989,Bucks
Bucks,42-40,0.512,1987,1988,Bucks
Bucks,50-32,0.61,1986,1987,Bucks
Bucks,57-25,0.695,1985,1986,Bucks
Bucks,59-23,0.72,1984,1985,Bucks
Bucks,50-32,0.61,1983,1984,Bucks
Bucks,51-31,0.622,1982,1983,Bucks
Bucks,55-27,0.671,1981,1982,Bucks
Bucks,60-22,0.732,1980,1981,Bucks
Timberwolves,47-35,0.573,2017,2018,Timberwolves
Timberwolves,31-51,0.378,2016,2017,Timberwolves
Timberwolves,29-53,0.354,2015,2016,Timberwolves
Timberwolves,16-66,0.195,2014,2015,Timberwolves
Timberwolves,40-42,0.488,2013,2014,Timberwolves
Timberwolves,31-51,0.378,2012,2013,Timberwolves
Timberwolves,26-40,0.394,2011,2012,Timberwolves
Timberwolves,17-65,0.207,2010,2011,Timberwolves
Timberwolves,15-67,0.183,2009,2010,Timberwolves
Timberwolves,24-58,0.293,2008,2009,Timberwolves
Timberwolves,22-60,0.268,2007,2008,Timberwolves
Timberwolves,32-50,0.39,2006,2007,Timberwolves
Timberwolves,33-49,0.402,2005,2006,Timberwolves
Timberwolves,44-38,0.537,2004,2005,Timberwolves
Timberwolves,58-24,0.707,2003,2004,Timberwolves
Timberwolves,51-31,0.622,2002,2003,Timberwolves
Timberwolves,50-32,0.61,2001,2002,Timberwolves
Timberwolves,47-35,0.573,2000,2001,Timberwolves
Timberwolves,50-32,0.61,1999,2000,Timberwolves
Timberwolves,25-25,0.5,1998,1999,Timberwolves
Timberwolves,45-37,0.549,1997,1998,Timberwolves
Timberwolves,40-42,0.488,1996,1997,Timberwolves
Timberwolves,26-56,0.317,1995,1996,Timberwolves
Timberwolves,21-61,0.256,1994,1995,Timberwolves
Timberwolves,20-62,0.244,1993,1994,Timberwolves
Timberwolves,19-63,0.232,1992,1993,Timberwolves
Timberwolves,15-67,0.183,1991,1992,Timberwolves
Timberwolves,29-53,0.354,1990,1991,Timberwolves
Timberwolves,22-60,0.268,1989,1990,Timberwolves
Pelicans,48-34,0.585,2017,2018,Pelicans
Pelicans,34-48,0.415,2016,2017,Pelicans
Pelicans,30-52,0.366,2015,2016,Pelicans
Pelicans,45-37,0.549,2014,2015,Pelicans
Pelicans,34-48,0.415,2013,2014,Pelicans
Hornets,27-55,0.329,2012,2013,Hornets
Hornets,21-45,0.318,2011,2012,Hornets
Hornets,46-36,0.561,2010,2011,Hornets
Hornets,37-45,0.451,2009,2010,Hornets
Hornets,49-33,0.598,2008,2009,Hornets
Hornets,56-26,0.683,2007,2008,Hornets
Hornets,39-43,0.476,2006,2007,Hornets
Hornets,38-44,0.463,2005,2006,Hornets
Hornets,18-64,0.22,2004,2005,Hornets
Hornets,41-41,0.5,2003,2004,Hornets
Hornets,47-35,0.573,2002,2003,Hornets
Knicks,29-53,0.354,2017,2018,Knicks
Knicks,31-51,0.378,2016,2017,Knicks
Knicks,32-50,0.39,2015,2016,Knicks
Knicks,17-65,0.207,2014,2015,Knicks
Knicks,37-45,0.451,2013,2014,Knicks
Knicks,54-28,0.659,2012,2013,Knicks
Knicks,36-30,0.545,2011,2012,Knicks
Knicks,42-40,0.512,2010,2011,Knicks
Knicks,29-53,0.354,2009,2010,Knicks
Knicks,32-50,0.39,2008,2009,Knicks
Knicks,23-59,0.28,2007,2008,Knicks
Knicks,33-49,0.402,2006,2007,Knicks
Knicks,23-59,0.28,2005,2006,Knicks
Knicks,33-49,0.402,2004,2005,Knicks
Knicks,39-43,0.476,2003,2004,Knicks
Knicks,37-45,0.451,2002,2003,Knicks
Knicks,30-52,0.366,2001,2002,Knicks
Knicks,48-34,0.585,2000,2001,Knicks
Knicks,50-32,0.61,1999,2000,Knicks
Knicks,27-23,0.54,1998,1999,Knicks
Knicks,43-39,0.524,1997,1998,Knicks
Knicks,57-25,0.695,1996,1997,Knicks
Knicks,47-35,0.573,1995,1996,Knicks
Knicks,55-27,0.671,1994,1995,Knicks
Knicks,57-25,0.695,1993,1994,Knicks
Knicks,60-22,0.732,1992,1993,Knicks
Knicks,51-31,0.622,1991,1992,Knicks
Knicks,39-43,0.476,1990,1991,Knicks
Knicks,45-37,0.549,1989,1990,Knicks
Knicks,52-30,0.634,1988,1989,Knicks
Knicks,38-44,0.463,1987,1988,Knicks
Knicks,24-58,0.293,1986,1987,Knicks
Knicks,23-59,0.28,1985,1986,Knicks
Knicks,24-58,0.293,1984,1985,Knicks
Knicks,47-35,0.573,1983,1984,Knicks
Knicks,44-38,0.537,1982,1983,Knicks
Knicks,33-49,0.402,1981,1982,Knicks
Knicks,50-32,0.61,1980,1981,Knicks
Thunder,48-34,0.585,2017,2018,Thunder
Thunder,47-35,0.573,2016,2017,Thunder
Thunder,55-27,0.671,2015,2016,Thunder
Thunder,45-37,0.549,2014,2015,Thunder
Thunder,59-23,0.72,2013,2014,Thunder
Thunder,60-22,0.732,2012,2013,Thunder
Thunder,47-19,0.712,2011,2012,Thunder
Thunder,55-27,0.671,2010,2011,Thunder
Thunder,50-32,0.61,2009,2010,Thunder
Thunder,23-59,0.28,2008,2009,Thunder
Supersonics,20-62,0.244,2007,2008,Thunder
Supersonics,31-51,0.378,2006,2007,Thunder
Supersonics,35-47,0.427,2005,2006,Thunder
Supersonics,52-30,0.634,2004,2005,Thunder
Supersonics,37-45,0.451,2003,2004,Thunder
Supersonics,40-42,0.488,2002,2003,Thunder
Supersonics,45-37,0.549,2001,2002,Thunder
Supersonics,44-38,0.537,2000,2001,Thunder
Supersonics,45-37,0.549,1999,2000,Thunder
Supersonics,25-25,0.5,1998,1999,Thunder
Supersonics,61-21,0.744,1997,1998,Thunder
Supersonics,57-25,0.695,1996,1997,Thunder
Supersonics,64-18,0.78,1995,1996,Thunder
Supersonics,57-25,0.695,1994,1995,Thunder
Supersonics,63-19,0.768,1993,1994,Thunder
Supersonics,55-27,0.671,1992,1993,Thunder
Supersonics,47-35,0.573,1991,1992,Thunder
Supersonics,41-41,0.5,1990,1991,Thunder
Supersonics,41-41,0.5,1989,1990,Thunder
Supersonics,47-35,0.573,1988,1989,Thunder
Supersonics,44-38,0.537,1987,1988,Thunder
Supersonics,39-43,0.476,1986,1987,Thunder
Supersonics,31-51,0.378,1985,1986,Thunder
Supersonics,31-51,0.378,1984,1985,Thunder
Supersonics,42-40,0.512,1983,1984,Thunder
Supersonics,48-34,0.585,1982,1983,Thunder
Supersonics,52-30,0.634,1981,1982,Thunder
Supersonics,34-48,0.415,1980,1981,Thunder
Magic,25-57,0.305,2017,2018,Magic
Magic,29-53,0.354,2016,2017,Magic
Magic,35-47,0.427,2015,2016,Magic
Magic,25-57,0.305,2014,2015,Magic
Magic,23-59,0.28,2013,2014,Magic
Magic,20-62,0.244,2012,2013,Magic
Magic,37-29,0.561,2011,2012,Magic
Magic,52-30,0.634,2010,2011,Magic
Magic,59-23,0.72,2009,2010,Magic
Magic,59-23,0.72,2008,2009,Magic
Magic,52-30,0.634,2007,2008,Magic
Magic,40-42,0.488,2006,2007,Magic
Magic,36-46,0.439,2005,2006,Magic
Magic,36-46,0.439,2004,2005,Magic
Magic,21-61,0.256,2003,2004,Magic
Magic,42-40,0.512,2002,2003,Magic
Magic,44-38,0.537,2001,2002,Magic
Magic,43-39,0.524,2000,2001,Magic
Magic,41-41,0.5,1999,2000,Magic
Magic,33-17,0.66,1998,1999,Magic
Magic,41-41,0.5,1997,1998,Magic
